Gender,Religious ,Influence,Age:,Rogue One: A Star Wars Story, Finding Dory,Captain America: Civil War,The Secret Life of Pets,The Jungle Book ,Deadpool,Zootopia,Batman v Superman: Dawn of Justice,Sucide Squad,Moana,Fantastic Beast and Where to Find Them,Doctor Strange,Hidden Figures,Jason Bourne,Star Trek Beyond,X-Men: Apocalypse,Trolls,La La Land,Kung Fu Panda 3,Fight Club,Hacksaw Ridge,Slumdog Millionaire,The Magnificent Seven,Avatar,Gender equality boosts economic growth,"To achieve gender equality, changes are required for both men and women",Women with full-time jobs earn less than their male counterparts,Women empowerment comes at the expense of men,Women are promoted at work less often than men,"There should be an equal number of men and women who are leaders in work, politics, and community",Most developed countries have attained gender equality,"Women inherently lack the ambition, confidence, and core competencies necessary for leadership success",Biological differences in men and women account for the lack of women in STEM fields,Crying is associated with femininity and weakness,Women would rather stay home with their children than be in the workplace
Male,Christian: Protestant or Other,Moderately,63,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,No opinion,Somewhat agree,No opinion,Strongly agree,No opinion,No opinion,No opinion,No opinion,Somewhat agree,No opinion,No opinion
Male,Jewish,Not at all,35,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Didn't like it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree
Male,Christian: Catholic or Orthodox,Moderately,38,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Not Religious,Not at all,35,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Never saw it,Never saw it,Didn't like it,Liked it,Didn't like it,Didn't like it,Didn't like it,Didn't like it,Didn't like it,Didn't like it,Didn't like it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Didn't like it,No opinion,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree
Female,Christian: Protestant or Other,Strongly,34,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,No opinion
Male,Christian: Protestant or Other,Moderately,31,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Didn't like it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
Male,Christian: Protestant or Other,Strongly,38,Liked it,Never saw it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,No opinion,No opinion,Somewhat disagree,Somewhat agree,No opinion,Somewhat disagree,Strongly agree,Somewhat disagree,No opinion,No opinion,No opinion
Female,Christian: Protestant or Other,Moderately,32,Didn't like it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Female,Christian: Catholic or Orthodox,Strongly,37,Liked it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,No opinion
Female,Not Religious,Slightly,33,Liked it,Liked it,Liked it,Never saw it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Male,Christian: Protestant or Other,Strongly,38,Didn't like it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Didn't like it,Didn't like it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Didn't like it,Didn't like it,Didn't like it,Liked it,Liked it,Never saw it,Didn't like it,No opinion,Somewhat agree,No opinion,Somewhat agree,No opinion,No opinion,Somewhat disagree,No opinion,No opinion,No opinion,No opinion
Female,"Eclectic, mystical atheist",Slightly,47,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No opinion,Somewhat disagree
Male,Not Religious,Not at all,29,Liked it,Liked it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
Female,Christian: Protestant or Other,Slightly,31,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Liked it,Liked it,Never saw it,Liked it,Didn't like it,Liked it,Didn't like it,Liked it,Didn't like it,Didn't like it,Never saw it,Never saw it,Didn't like it,Somewhat agree,No opinion,Somewhat agree,Strongly disagree,No opinion,No opinion,Somewhat disagree,Strongly disagree,Strongly disagree,No opinion,Somewhat disagree
Female,Not Religious,Not at all,25,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,No opinion,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,No opinion,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Christian: Catholic or Orthodox,Slightly,22,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
Male,Not Religious,Not at all,43,Never saw it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Never saw it,Didn't like it,Didn't like it,Didn't like it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Didn't like it,Liked it,Liked it,No opinion,Strongly agree,No opinion,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,No opinion
Female,Not Religious,Not at all,40,Liked it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,No opinion,No opinion
Male,Not Religious,Not at all,40,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Strongly agree,Strongly agree,Somewhat agree,No opinion,Somewhat agree,Strongly agree,No opinion,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Christian: Protestant or Other,Strongly,29,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Didn't like it,Never saw it,Liked it,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,No opinion,No opinion,Somewhat agree,No opinion,No opinion
Male,Christian: Protestant or Other,Slightly,35,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,No opinion,Somewhat agree,Somewhat agree,Strongly disagree,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
Female,Jewish,Slightly,,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,No opinion,Somewhat disagree
Male,Not Religious,Not at all,32,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Somewhat agree,Somewhat agree,Somewhat agree,No opinion,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
Female,Christian: Catholic or Orthodox,Strongly,45,Never saw it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,No opinion,No opinion
Male,Christian: Catholic or Orthodox,Slightly,38,Liked it,Liked it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,No opinion,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
Male,Christian: Protestant or Other,Strongly,43,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,No opinion,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
Female,Not Religious,Strongly,54,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Didn't like it,Didn't like it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Male,Jewish,Slightly,38,Liked it,Liked it,Liked it,Never saw it,Never saw it,Didn't like it,Never saw it,Didn't like it,Never saw it,Liked it,Didn't like it,Liked it,Never saw it,Never saw it,Didn't like it,Didn't like it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Strongly agree,Strongly disagree,Strongly agree,No opinion,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
Male,Jewish,Slightly,43,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Didn't like it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,No opinion,No opinion
Female,Not Religious,Not at all,43,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Didn't like it,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Male,Jewish,Slightly,,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
Female,Not Religious,Not at all,11,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No opinion,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
Female,Christian: Protestant or Other,Strongly,40,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Female,Christian: Protestant or Other,Strongly,34,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
Female,Not Religious,Not at all,13,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,No opinion,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
Female,Buddhist/Confucian/Shinto,Slightly,28,Liked it,Liked it,Didn't like it,Never saw it,Didn't like it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree
Female,Not Religious,Not at all,50,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Didn't like it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,No opinion
Male,Christian: Protestant or Other,Strongly,44,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,No opinion,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,No opinion,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Female,Christian: Catholic or Orthodox,Moderately,61,Didn't like it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Didn't like it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,No opinion,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Male,Christian: Catholic or Orthodox,Moderately,46,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Didn't like it,Didn't like it,Never saw it,Never saw it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,No opinion,Somewhat agree,Somewhat agree,No opinion,No opinion,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,No opinion
Female,Christian: Protestant or Other,Slightly,57,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Didn't like it,Liked it,Never saw it,Liked it,Liked it,Liked it,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,No opinion,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Male,Not Religious,Not at all,31,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,No opinion,Somewhat agree,Somewhat disagree,Strongly disagree,No opinion,Somewhat agree,No opinion,Strongly disagree,Somewhat disagree,Somewhat agree,No opinion
Male,Not Religious,Not at all,43,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,No opinion,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,No opinion
Male,Not Religious,Not at all,50,Never saw it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree
Male,Christian: Protestant or Other,Strongly,40,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Didn't like it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
