,
1,Rogue One
1,Finding Dory
1,Captain America Civil War
-1,Secret Life of Pets
-1,Jungle Book
-1,Deadpool
1,Zootopica
-1,Batman Vs Superman
1,Suicide Squad
1,Sing
1,Moana
1,Fantastic Beasts and Where to Find Them
-1,Doctor Strange
1,Hidden Figures
-1,Jason Bourne
-1,Star Trek Beyond
1,X-Men Apocolypse
1,Trolls
1,La La Land
1,Kung Fu Panda 3
-1,Fight Club
-1,Hacksaw Ridge
-1,Slumdog Millionaire
-1,The Magnificent Seven
-1,Avatar
